Well_Name,R2,RMSE,MAE,N_samples_test
1-BRSA-1013-SES,-3.846642916058575,26.427388592749878,23.48452505578303,4738
1-BRSA-1088-SES,-7.316261395245441,29.493391347948567,27.52451137011884,5890
1-BRSA-1104-SES,-19.363142498984658,29.34674975601241,27.48832817858443,4945
1-BRSA-1131-SES,-5.990288674944807,24.305179441637428,20.94825311006164,11519
1-BRSA-930D-SES,-1.9779230787681241,14.012660755877686,12.95855276703112,9512
1-BRSA-978-SES,-3.1746647568755737,22.19948124164423,19.715347057776018,5054
3-BRSA-1069-SES,-10.570914890648542,27.562874656686063,25.732724420590454,10602
3-BRSA-1163-SES,-2.5507723377777816,19.607815419835024,18.401381456658907,8590
3-BRSA-1178D-SES,-4.343421495094405,24.843069566396583,19.26094085870198,3436
3-BRSA-1180D-SES,-1.8001126624408013,22.699230718467938,21.18923455649215,12931
3-BRSA-1194-SES,-5.0354067846874315,25.536650767184753,22.892897555902238,3846
3-BRSA-1207-SES,-5.934022670109544,28.73691836757931,26.56129177575081,8058
3-BRSA-1234D-SES,-9.110749617683016,27.672788397196125,24.834790290465445,5799
3-BRSA-1239-SES,-3.8986746377134587,20.931860865742976,18.48069681168831,7777
3-BRSA-1244-SES,-5.14313756467175,23.158426907394837,21.157572528054924,10123
3-BRSA-1248D-SES,-2.4495075292785513,19.406619139581455,17.983160918326252,13658
3-BRSA-1251-SES,-9.916299292105085,30.43119539080681,28.28314478005306,6031
3-BRSA-1286-SES,-11.886406721751909,27.843093449203508,25.35564264245248,5472
3-BRSA-1296-SES,-3.430804102653143,22.69173052081354,20.244031666252628,5233
3-BRSA-1297-SES,-1.4234529628953578,14.012512217394415,12.600200095254277,8829
3-BRSA-1297A-SES,-4.734163771549379,23.0534238762528,21.161274960043198,8797
3-BRSA-1303-SES,-5.844509249012649,22.920155942349226,21.15347568781825,7659
3-BRSA-1333-SES,-1.9229288495862717,16.317353112641364,15.05581078822314,7260
3-BRSA-1367-SES,-1.8832577545355194,22.531929279761098,20.265392145848228,9791
3-BRSA-1371-SES,-1.209238042751807,21.20027447380835,18.642139430732485,8792
4-BRSA-197-SES,-4.833175460603698,21.320936853124348,20.482807451284323,4516
9-BRSA-1278A-SES,-1.4188467192817802,23.518208525624253,21.880679526036513,11119
9-BRSA-1280D-SES,-0.7048499239079526,19.645799247133805,17.426403178793848,21838
