Well_Name,R2,RMSE,MAE,N_samples_test
1-BRSA-1013-SES,-121.27392343569086,132.73964834683647,131.70874233677728,4738
1-BRSA-1088-SES,-190.606858426306,141.56835083289312,137.0691428374007,5890
1-BRSA-1104-SES,-370.46273559249653,125.3416002055054,123.59299683914435,4945
1-BRSA-1131-SES,-190.14234910122036,127.09537176416939,124.87813352578173,11519
1-BRSA-930D-SES,-502.34883662357186,182.17903813561318,179.23513442721196,9512
1-BRSA-978-SES,-118.94383107921335,118.99288148637831,117.53084305370145,5054
3-BRSA-1069-SES,-394.3951322136817,161.1225474412422,153.71140893745334,10602
3-BRSA-1163-SES,-241.24738089017444,161.956111578227,158.62543578975283,8590
3-BRSA-1178D-SES,-161.32443146508461,136.92649271682046,134.92241645992686,3436
3-BRSA-1180D-SES,-115.14150827345453,146.18981523469031,142.60861146844735,12931
3-BRSA-1194-SES,-237.722579448203,160.6043903195588,152.85532195889024,3846
3-BRSA-1207-SES,-187.88393053008863,149.98404820946112,146.53826473407233,8058
3-BRSA-1234D-SES,-293.32324309456516,149.30471557938932,143.5154001334587,5799
3-BRSA-1239-SES,-287.17082996602363,160.54380444978824,154.77302164430048,7777
3-BRSA-1244-SES,-256.81322005903127,150.02599881117396,145.62648592532375,10123
3-BRSA-1248D-SES,-244.1274937533538,163.59399067998822,159.60758829790376,13658
3-BRSA-1251-SES,-196.3340415037721,129.38451455695886,128.31772574861887,6031
3-BRSA-1286-SES,-293.49288228611283,133.10334478059434,128.8188368481788,5472
3-BRSA-1296-SES,-227.85356616764608,163.0816830942219,155.941870265266,5233
3-BRSA-1297-SES,-416.1694150018656,183.84631825692833,180.24641557940595,8829
3-BRSA-1297A-SES,-241.80788287552957,150.0139962400491,145.80428596932927,8797
3-BRSA-1303-SES,-237.98551338367164,135.4354012677637,132.53862613498316,7659
3-BRSA-1333-SES,-246.89926811189622,150.27205042272854,147.25676582457928,7260
3-BRSA-1367-SES,-156.50433252937876,166.53399380174747,158.2425351240805,9791
3-BRSA-1371-SES,-104.60383168272006,146.57505479607516,143.82638669077264,8792
4-BRSA-197-SES,-260.96776173424473,142.88205525015553,141.80834755714943,4516
9-BRSA-1278A-SES,-105.89301405033322,156.3416618790347,152.84235713634126,11119
9-BRSA-1280D-SES,-124.92147298860125,168.84045825525814,163.91186677394126,21838
